episode,total_steps,episode_reward,episode_length,max_y_distance,termination_reason,collision_type,checkpoints_reached,override_count,min_clear_above,wall_time
1,14,-212.240178,14,5.267612934112549,collision,roof,5.0,8,0.7759156227111816,1758264491.5937147
2,26,-353.758539,12,2.0348691940307617,collision,roof,,5,0.0001964569091796875,1758264523.4634442
3,41,-310.816158,15,4.443342208862305,collision,roof,,6,0.7085020542144775,1758264561.1802633
4,58,-267.814762,17,5.251890659332275,collision,roof,5.0,11,0.7760522365570068,1758264602.093347
5,74,-237.172428,16,5.25208854675293,collision,roof,5.0,10,0.7762763500213623,1758264641.7450628
6,88,-328.008173,14,3.9974968433380127,collision,roof,,5,0.5852828025817871,1758264675.4728591
7,103,-255.061498,15,5.254479885101318,collision,roof,5.0,8,0.7759199142456055,1758264710.5399926
8,117,-195.12419,14,7.11660099029541,collision,roof,5.0,7,0.7759537696838379,1758264746.7101347
9,140,162.889428,23,23.33387565612793,collision,roof,5.0|10.0|15.0|20.0,8,0.008200645446777344,1758264814.7495022
10,155,-255.044722,15,5.254336833953857,collision,roof,5.0,8,0.7760672569274902,1758264850.1058028
11,170,-343.109791,15,4.940794944763184,collision,other,,8,0.7304518222808838,1758264886.6705465
12,190,-166.255268,20,11.080777168273926,collision,roof,5.0|10.0,6,1.0967254638671875e-05,1758264949.7564747
13,210,198.944734,20,24.0810489654541,collision,roof,5.0|10.0|15.0|20.0,8,0.25759434700012207,1758265008.489175
14,226,-100.02837,16,11.871796607971191,collision,roof,5.0|10.0,8,0.006621360778808594,1758265052.1059191
15,254,58.385855,28,24.276779174804688,collision,roof,5.0|10.0|15.0|20.0,11,0.008310794830322266,1758265132.9931457
16,270,-261.498836,16,5.252427577972412,collision,roof,5.0,10,0.776191234588623,1758265177.3663075
17,285,255.750191,15,24.213348388671875,collision,roof,5.0|10.0|15.0|20.0,5,2.09808349609375e-05,1758265227.0049965
18,318,46.759839,33,24.264089584350586,collision,roof,5.0|10.0|15.0|20.0,19,0.0007081031799316406,1758265305.5593936
19,352,134.435875,34,24.251340866088867,collision,other,5.0|10.0|15.0|20.0,10,0.0002818107604980469,1758265384.6526265
20,376,194.006176,24,24.23525047302246,collision,roof,5.0|10.0|15.0|20.0,8,6.651878356933594e-05,1758265451.7017095
